AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Gummidipoondi,1,GEN,Thiruvallur,VIJAYAKUMAR K S,All India Anna Dravida Munnetra Kazhagam,,214348,,23395,10.9%
Ponneri,2,SC,Thiruvallur,BALARAMAN P,All India Anna Dravida Munnetra Kazhagam,,197648,,19336,9.8%
Tiruttani,3,GEN,Thiruvallur,NARASIMHAN P M,All India Anna Dravida Munnetra Kazhagam,,222409,,23141,10.4%
Tiruvallur,4,GEN,Thiruvallur,RAAJENDRAN V G,Dravida Munetra Kazhagam,,206244,,5138,2.5%
Poonamallee,5,SC,Thiruvallur,ELUMALAI T A,All India Anna Dravida Munnetra Kazhagam,,239987,,11763,4.9%
Avadi,6,GEN,Thiruvallur,PANDIA RAJAN K,All India Anna Dravida Munnetra Kazhagam,,270732,,1395,0.5%
Maduravoyal,7,GEN,Thiruvallur,BENJAMIN P,All India Anna Dravida Munnetra Kazhagam,,248597,,8402,3.4%
Ambattur,8,GEN,Thiruvallur,ALEXANDER V,All India Anna Dravida Munnetra Kazhagam,,229632,,17498,7.6%
Madavaram,9,GEN,Thiruvallur,SUDHARSANAM S,Dravida Munetra Kazhagam,,268718,,15253,5.7%
Thiruvottiyur,10,GEN,Thiruvallur,SAMY.K.P.P,Dravida Munetra Kazhagam,,190061,,4863,2.6%
Dr.Rk Nagar,11,GEN,Chennai,JAYALALITHAA J,All India Anna Dravida Munnetra Kazhagam,,174015,,39545,22.7%
Perambur,12,GEN,Chennai,P VETRIVEL,All India Anna Dravida Munnetra Kazhagam,,188681,,519,0.3%
Kolathur,13,GEN,Chennai,M.K.STALIN,Dravida Munetra Kazhagam,,168308,,37730,22.4%
Villivakkam,14,GEN,Chennai,B. RANGANATHAN,Dravida Munetra Kazhagam,,150084,,9321,6.2%
Thiru-Vi-Ka-Nagar,15,SC,Chennai,SIVAKUMAR P @ THAYAGAM KAVI,Dravida Munetra Kazhagam,,136450,,3322,2.4%
Egmore,16,SC,Chennai,RAVICHANDRAN K.S,Dravida Munetra Kazhagam,,120635,,10679,8.9%
Royapuram,17,GEN,Chennai,JAYAKUMAR D,All India Anna Dravida Munnetra Kazhagam,,122117,,8031,6.6%
Harbour,18,GEN,Chennai,SEKAR BABU P K,Dravida Munetra Kazhagam,,104238,,4836,4.6%
Chepauk - Tiruvallikeni,19,GEN,Chennai,J.ANBAZHAGAN,Dravida Munetra Kazhagam,,143665,,14164,9.9%
Thousand Lights,20,GEN,Chennai,SELVAM KU. KA,Dravida Munetra Kazhagam,,142403,,8829,6.2%
Anna Nagar,21,GEN,Chennai,MOHAN M.K.,Dravida Munetra Kazhagam,,172981,,1687,1.0%
